film,track_name,artist_x,url,directory,filename,titles,name,artist_y,URL,midi_title
forrest gump,California Dreamin' - Single Version,The Mamas & The Papas,https://open.spotify.com/track/7xinzPqSmPSstVougBIL1i,data\midis\Big_Data_Set\C\C,California_Dreamin.mid,california dreamin,California Dreamin' - Single Version,The Mamas & The Papas,https://open.spotify.com/track/4s6LhHAV5SEsOV0lC2tjvJ,california dreamin
forrest gump,California Dreamin' - Single Version,The Mamas & The Papas,https://open.spotify.com/track/7xinzPqSmPSstVougBIL1i,data\midis\Big_Data_Set\M\M,Mamas_and_Papas_-_California_Dreamin'.mid,mamas and papas california dreamin ,California Dreamin' - Single Version,The Mamas & The Papas,https://open.spotify.com/track/4s6LhHAV5SEsOV0lC2tjvJ,mamas and papas california dreamin 
pulp fiction,California Dreamin' - Single Version,The Mamas & The Papas,https://open.spotify.com/track/1cCaFCpZ8FKdLalzLWrklQ,data\midis\Big_Data_Set\C\C,California_Dreamin.mid,california dreamin,California Dreamin' - Single Version,The Mamas & The Papas,https://open.spotify.com/track/4s6LhHAV5SEsOV0lC2tjvJ,california dreamin
pulp fiction,California Dreamin' - Single Version,The Mamas & The Papas,https://open.spotify.com/track/1cCaFCpZ8FKdLalzLWrklQ,data\midis\Big_Data_Set\M\M,Mamas_and_Papas_-_California_Dreamin'.mid,mamas and papas california dreamin ,California Dreamin' - Single Version,The Mamas & The Papas,https://open.spotify.com/track/4s6LhHAV5SEsOV0lC2tjvJ,mamas and papas california dreamin 
forrest gump,For What It's Worth,Buffalo Springfield,https://open.spotify.com/track/1qRA5BS78u3gME0loMl9AA,data\midis\Big_Data_Set\B\B,Buffalo_Springfield_-_For_What_Its_Worth.mid,buffalo springfield for what its worth,For What It's Worth,Buffalo Springfield,https://open.spotify.com/track/1qRA5BS78u3gME0loMl9AA,buffalo springfield for what its worth
forrest gump,For What It's Worth,Buffalo Springfield,https://open.spotify.com/track/1qRA5BS78u3gME0loMl9AA,data\midis\Big_Data_Set\F\F,for_what_its_worth_buffalo_springfield.mid,for what its worth buffalo springfield,For What It's Worth,Buffalo Springfield,https://open.spotify.com/track/1qRA5BS78u3gME0loMl9AA,for what its worth buffalo springfield
pulp fiction,For What It's Worth,Buffalo Springfield,https://open.spotify.com/track/1qRA5BS78u3gME0loMl9AA,data\midis\Big_Data_Set\B\B,Buffalo_Springfield_-_For_What_Its_Worth.mid,buffalo springfield for what its worth,For What It's Worth,Buffalo Springfield,https://open.spotify.com/track/1qRA5BS78u3gME0loMl9AA,buffalo springfield for what its worth
pulp fiction,For What It's Worth,Buffalo Springfield,https://open.spotify.com/track/1qRA5BS78u3gME0loMl9AA,data\midis\Big_Data_Set\F\F,for_what_its_worth_buffalo_springfield.mid,for what its worth buffalo springfield,For What It's Worth,Buffalo Springfield,https://open.spotify.com/track/1qRA5BS78u3gME0loMl9AA,for what its worth buffalo springfield
forrest gump,"Everybody's Talkin' - From ""Midnight Cowboy""",Harry Nilsson,https://open.spotify.com/track/7CAhxeaTYXn1qWNRkZl9ad,data\midis\Big_Data_Set\E\E,everybodystalkin.mid,everybodystalkin,"Everybody's Talkin' - From ""Midnight Cowboy""",Harry Nilsson,https://open.spotify.com/track/1jcPcDu2YawPfLhwjYnqK2,everybodystalkin
forrest gump,"Everybody's Talkin' - From ""Midnight Cowboy""",Harry Nilsson,https://open.spotify.com/track/7CAhxeaTYXn1qWNRkZl9ad,data\midis\Big_Data_Set\H\H,Harry_Nilsson_-_Everybodys_Talkin.mid,harry nilsson everybodys talkin,"Everybody's Talkin' - From ""Midnight Cowboy""",Harry Nilsson,https://open.spotify.com/track/1jcPcDu2YawPfLhwjYnqK2,harry nilsson everybodys talkin
forrest gump,Sweet Home Alabama,Lynyrd Skynyrd,https://open.spotify.com/track/7HR024DKw3SnKzCDJp3Bnf,data\midis\Big_Data_Set\L\L,Lynyrd Skynyrd - Sweet Home Alabama.mid,lynyrd skynyrd sweet home alabama,Sweet Home Alabama,Lynyrd Skynyrd,https://open.spotify.com/track/7e89621JPkKaeDSTQ3avtg,lynyrd skynyrd sweet home alabama
forrest gump,Sweet Home Alabama,Lynyrd Skynyrd,https://open.spotify.com/track/7HR024DKw3SnKzCDJp3Bnf,data\midis\Big_Data_Set\S\S,Sweet-Home-Alabama.mid,sweet home alabama,Sweet Home Alabama,Lynyrd Skynyrd,https://open.spotify.com/track/7e89621JPkKaeDSTQ3avtg,sweet home alabama
forrest gump,Sweet Home Alabama,Lynyrd Skynyrd,https://open.spotify.com/track/7HR024DKw3SnKzCDJp3Bnf,data\midis\Big_Data_Set\S\S,Sweet-Home-Alabama.mid,sweet home alabama,Sweet Home Alabama,Lynyrd Skynyrd,https://open.spotify.com/track/7e89621JPkKaeDSTQ3avtg,sweet home alabama
forrest gump,Sweet Home Alabama,Lynyrd Skynyrd,https://open.spotify.com/track/7HR024DKw3SnKzCDJp3Bnf,data\midis\Big_Data_Set\S\S,sweet_home_alabama.mid,sweet home alabama,Sweet Home Alabama,Lynyrd Skynyrd,https://open.spotify.com/track/7e89621JPkKaeDSTQ3avtg,sweet home alabama
forrest gump,Sweet Home Alabama,Lynyrd Skynyrd,https://open.spotify.com/track/7HR024DKw3SnKzCDJp3Bnf,data\midis\Big_Data_Set\S\S,sweet_home_alabama.mid,sweet home alabama,Sweet Home Alabama,Lynyrd Skynyrd,https://open.spotify.com/track/7e89621JPkKaeDSTQ3avtg,sweet home alabama
forrest gump,I Can See Clearly Now,The Side Deal,https://open.spotify.com/track/3CaQXySrZS7rV73cjSFvuZ,data\midis\Big_Data_Set\2,2_I-can-see-clearly-now.mid, i can see clearly now,I Can See Clearly Now,Jimmy Cliff,https://open.spotify.com/track/7aJZxI6TVdIvQSuWxQ4rqp, i can see clearly now
forrest gump,I Can See Clearly Now,The Side Deal,https://open.spotify.com/track/3CaQXySrZS7rV73cjSFvuZ,data\midis\Big_Data_Set\I\I,I-Can-See-Clearly-Now-1.mid,i can see clearly now ,I Can See Clearly Now,Jimmy Cliff,https://open.spotify.com/track/7aJZxI6TVdIvQSuWxQ4rqp,i can see clearly now 
forrest gump,I Can See Clearly Now,The Side Deal,https://open.spotify.com/track/3CaQXySrZS7rV73cjSFvuZ,data\midis\Big_Data_Set\I\I,I-Can-See-Clearly-Now-1.mid,i can see clearly now ,I Can See Clearly Now,Jimmy Cliff,https://open.spotify.com/track/7aJZxI6TVdIvQSuWxQ4rqp,i can see clearly now 
forrest gump,I Can See Clearly Now,The Side Deal,https://open.spotify.com/track/3CaQXySrZS7rV73cjSFvuZ,data\midis\Big_Data_Set\I\I,I-Can-See-Clearly-Now-1.mid,i can see clearly now ,I Can See Clearly Now,Jimmy Cliff,https://open.spotify.com/track/7aJZxI6TVdIvQSuWxQ4rqp,i can see clearly now 
forrest gump,I Can See Clearly Now,The Side Deal,https://open.spotify.com/track/3CaQXySrZS7rV73cjSFvuZ,data\midis\Big_Data_Set\I\I,I-Can-See-Clearly-Now-2.mid,i can see clearly now ,I Can See Clearly Now,Jimmy Cliff,https://open.spotify.com/track/7aJZxI6TVdIvQSuWxQ4rqp,i can see clearly now 
forrest gump,I Can See Clearly Now,The Side Deal,https://open.spotify.com/track/3CaQXySrZS7rV73cjSFvuZ,data\midis\Big_Data_Set\I\I,I-Can-See-Clearly-Now-2.mid,i can see clearly now ,I Can See Clearly Now,Jimmy Cliff,https://open.spotify.com/track/7aJZxI6TVdIvQSuWxQ4rqp,i can see clearly now 
forrest gump,I Can See Clearly Now,The Side Deal,https://open.spotify.com/track/3CaQXySrZS7rV73cjSFvuZ,data\midis\Big_Data_Set\I\I,I-Can-See-Clearly-Now-2.mid,i can see clearly now ,I Can See Clearly Now,Jimmy Cliff,https://open.spotify.com/track/7aJZxI6TVdIvQSuWxQ4rqp,i can see clearly now 
forrest gump,I Can See Clearly Now,The Side Deal,https://open.spotify.com/track/3CaQXySrZS7rV73cjSFvuZ,data\midis\Big_Data_Set\I\I,I-Can-See-Clearly-Now-3.mid,i can see clearly now ,I Can See Clearly Now,Jimmy Cliff,https://open.spotify.com/track/7aJZxI6TVdIvQSuWxQ4rqp,i can see clearly now 
forrest gump,I Can See Clearly Now,The Side Deal,https://open.spotify.com/track/3CaQXySrZS7rV73cjSFvuZ,data\midis\Big_Data_Set\I\I,I-Can-See-Clearly-Now-3.mid,i can see clearly now ,I Can See Clearly Now,Jimmy Cliff,https://open.spotify.com/track/7aJZxI6TVdIvQSuWxQ4rqp,i can see clearly now 
forrest gump,I Can See Clearly Now,The Side Deal,https://open.spotify.com/track/3CaQXySrZS7rV73cjSFvuZ,data\midis\Big_Data_Set\I\I,I-Can-See-Clearly-Now-3.mid,i can see clearly now ,I Can See Clearly Now,Jimmy Cliff,https://open.spotify.com/track/7aJZxI6TVdIvQSuWxQ4rqp,i can see clearly now 
forrest gump,I Can See Clearly Now,The Side Deal,https://open.spotify.com/track/3CaQXySrZS7rV73cjSFvuZ,data\midis\Big_Data_Set\I\I,I-Can-See-Clearly-Now.mid,i can see clearly now,I Can See Clearly Now,Jimmy Cliff,https://open.spotify.com/track/7aJZxI6TVdIvQSuWxQ4rqp,i can see clearly now
forrest gump,I Can See Clearly Now,The Side Deal,https://open.spotify.com/track/3CaQXySrZS7rV73cjSFvuZ,data\midis\Big_Data_Set\I\I,I-Can-See-Clearly-Now.mid,i can see clearly now,I Can See Clearly Now,Jimmy Cliff,https://open.spotify.com/track/7aJZxI6TVdIvQSuWxQ4rqp,i can see clearly now
forrest gump,I Can See Clearly Now,The Side Deal,https://open.spotify.com/track/3CaQXySrZS7rV73cjSFvuZ,data\midis\Big_Data_Set\I\I,i_can_see_clearly_now.mid,i can see clearly now,I Can See Clearly Now,Jimmy Cliff,https://open.spotify.com/track/7aJZxI6TVdIvQSuWxQ4rqp,i can see clearly now
forrest gump,I Can See Clearly Now,The Side Deal,https://open.spotify.com/track/3CaQXySrZS7rV73cjSFvuZ,data\midis\Big_Data_Set\I\I,i_can_see_clearly_now.mid,i can see clearly now,I Can See Clearly Now,Jimmy Cliff,https://open.spotify.com/track/7aJZxI6TVdIvQSuWxQ4rqp,i can see clearly now
forrest gump,I Can See Clearly Now,The Side Deal,https://open.spotify.com/track/3CaQXySrZS7rV73cjSFvuZ,data\midis\Big_Data_Set\J\J,J.CLIFF.I can see clearly now.MID,j cliff i can see clearly now,I Can See Clearly Now,Jimmy Cliff,https://open.spotify.com/track/7aJZxI6TVdIvQSuWxQ4rqp,j cliff i can see clearly now
forrest gump,Let's Go,Sam Fazio,https://open.spotify.com/track/2clEzGqKfuz3UEt7bMvPEl,data\midis\Big_Data_Set\T\T,The Cars - Let's Go.mid,the cars let s go,Let's Go,The Cars,https://open.spotify.com/track/43G3McVkRa8V7oGQzfQuRr,the cars let s go
forrest gump,Forever,Savoy Ellis,https://open.spotify.com/track/1ifBFSyRniP6Hq3mWRvPEP,data\midis\Big_Data_Set\E\E,Edguy_-_Forever.mid,edguy forever,Forever,Edguy,https://open.spotify.com/track/0qlsSYNWm8nkcIlekDoEiB,edguy forever
forrest gump,Forever,Savoy Ellis,https://open.spotify.com/track/1ifBFSyRniP6Hq3mWRvPEP,data\midis\Big_Data_Set\K\K,Kenny_Loggins_-_Forever.mid,kenny loggins forever,Forever,Kenny Loggins,https://open.spotify.com/track/23KhPfX1omMxmfw4TjvfAq,kenny loggins forever
forrest gump,Forever,Savoy Ellis,https://open.spotify.com/track/1ifBFSyRniP6Hq3mWRvPEP,data\midis\Big_Data_Set\M\M,mariah_carey-forever.mid,mariah carey forever,Forever,Mariah Carey,https://open.spotify.com/track/74EIDs3yEsMR1gcUmFD4FB,mariah carey forever
forrest gump,Downtown Train,Sam Fazio,https://open.spotify.com/track/6r4TKCewYwgKLnJAndQcpN,data\midis\Big_Data_Set\R\R,rod_stewart-downtown_train.mid,rod stewart downtown train,Downtown Train,Rod Stewart,https://open.spotify.com/track/5XJzh2c0roCc6GDs8PrILx,rod stewart downtown train
forrest gump,Feelings,Moses Mikheyev,https://open.spotify.com/track/5biETCYKOfuxb8Eud83OMj,data\midis\Big_Data_Set\M\M,Morris_Albert_Feelings.mid,morris albert feelings,Feelings,Morris Albert,https://open.spotify.com/track/1ib9HiMItjzAwAZFzlaK20,morris albert feelings
forrest gump,Feelings,Moses Mikheyev,https://open.spotify.com/track/5biETCYKOfuxb8Eud83OMj,data\midis\Big_Data_Set\R\R,ROMANTIC SOUND ORC.Feelings.MID,romantic sound orc feelings,Feelings,Bruno Bertone Sound Orchestra,https://open.spotify.com/track/08t9MiEf9WkhZkDvqUxXmp,romantic sound orc feelings
forrest gump,Mama Said,Six Gun Sal,https://open.spotify.com/track/2MHsqU0Kn41mX7T7nyFJe3,data\midis\Big_Data_Set\M\M,Metallica_-_Mama_Said.mid,metallica mama said,Mama Said,Metallica,https://open.spotify.com/track/4ePx4Js87KSIVMLL4RD7vX,metallica mama said
forrest gump,It Keeps You Runnin',The Doobie Brothers,https://open.spotify.com/track/5wFdcY9O6cEn1PL6V3AEmu,data\midis\Big_Data_Set\D\D,DOOBIE BR.It keeps you runnin.mid,doobie br it keeps you runnin,It Keeps You Runnin',The Doobie Brothers,https://open.spotify.com/track/5wFdcY9O6cEn1PL6V3AEmu,doobie br it keeps you runnin
forrest gump,Sweet Child O' Mine,Guns N' Roses,https://open.spotify.com/track/7o2CTH4ctstm8TNelqjb51,data\midis\Big_Data_Set\G\G,Guns n Roses - Sweet Child O Mine.mid,guns n roses sweet child o mine,Sweet Child O' Mine,Guns N' Roses,https://open.spotify.com/track/7snQQk1zcKl8gZ92AnueZW,guns n roses sweet child o mine
forrest gump,Sweet Child O' Mine,Guns N' Roses,https://open.spotify.com/track/7o2CTH4ctstm8TNelqjb51,data\midis\Big_Data_Set\S\S,SweetChildO'Mine.mid,sweetchildo mine,Sweet Child O' Mine,Guns N' Roses,https://open.spotify.com/track/7snQQk1zcKl8gZ92AnueZW,sweetchildo mine
forrest gump,Sweet Child O' Mine,Guns N' Roses,https://open.spotify.com/track/7o2CTH4ctstm8TNelqjb51,data\midis\Big_Data_Set\S\S,sweetchildofmine.mid,sweetchildofmine,Sweet Child O' Mine,Guns N' Roses,https://open.spotify.com/track/7snQQk1zcKl8gZ92AnueZW,sweetchildofmine
forrest gump,Enter Sandman,Metallica,https://open.spotify.com/track/5sICkBXVmaCQk5aISGR3x1,data\midis\Big_Data_Set\M\M,Metallica-Enter_Sandman.mid,metallica enter sandman,Enter Sandman,Metallica,https://open.spotify.com/track/5BIMPccDwShpXq784RJlJp,metallica enter sandman
forrest gump,Enter Sandman,Metallica,https://open.spotify.com/track/5sICkBXVmaCQk5aISGR3x1,data\midis\Big_Data_Set\M\M,Metallica-Enter_Sandman.mid,metallica enter sandman,Enter Sandman,Metallica,https://open.spotify.com/track/5BIMPccDwShpXq784RJlJp,metallica enter sandman
forrest gump,Enter Sandman,Metallica,https://open.spotify.com/track/5sICkBXVmaCQk5aISGR3x1,data\midis\Big_Data_Set\M\M,Metallica_-_Enter_Sandman.mid,metallica enter sandman,Enter Sandman,Metallica,https://open.spotify.com/track/5BIMPccDwShpXq784RJlJp,metallica enter sandman
forrest gump,Enter Sandman,Metallica,https://open.spotify.com/track/5sICkBXVmaCQk5aISGR3x1,data\midis\Big_Data_Set\M\M,Metallica_-_Enter_Sandman.mid,metallica enter sandman,Enter Sandman,Metallica,https://open.spotify.com/track/5BIMPccDwShpXq784RJlJp,metallica enter sandman
forrest gump,Back In Black,AC/DC,https://open.spotify.com/track/08mG3Y1vljYA6bvDt4Wqkj,data\midis\Big_Data_Set\A\A,ACDC_Back_In_Black.mid,acdc back in black,Back In Black,AC/DC,https://open.spotify.com/track/08mG3Y1vljYA6bvDt4Wqkj,acdc back in black
forrest gump,Back In Black,AC/DC,https://open.spotify.com/track/08mG3Y1vljYA6bvDt4Wqkj,data\midis\Big_Data_Set\A\A,ac_dc-back_in_black.mid,ac dc back in black,Back In Black,AC/DC,https://open.spotify.com/track/08mG3Y1vljYA6bvDt4Wqkj,ac dc back in black
school of rock,Back In Black,AC/DC,https://open.spotify.com/track/08mG3Y1vljYA6bvDt4Wqkj,data\midis\Big_Data_Set\A\A,ACDC_Back_In_Black.mid,acdc back in black,Back In Black,AC/DC,https://open.spotify.com/track/08mG3Y1vljYA6bvDt4Wqkj,acdc back in black
school of rock,Back In Black,AC/DC,https://open.spotify.com/track/08mG3Y1vljYA6bvDt4Wqkj,data\midis\Big_Data_Set\A\A,ac_dc-back_in_black.mid,ac dc back in black,Back In Black,AC/DC,https://open.spotify.com/track/08mG3Y1vljYA6bvDt4Wqkj,ac dc back in black
almost famous,America,Simon & Garfunkel,https://open.spotify.com/track/6Cdd38Y9v3hl2INqBXWCUQ,data\midis\Big_Data_Set\R\R,razorlight-america.mid,razorlight america,America,Razorlight,https://open.spotify.com/track/0vVxIQdqs8uVqoWqNpkzwa,razorlight america
almost famous,America,Simon & Garfunkel,https://open.spotify.com/track/6Cdd38Y9v3hl2INqBXWCUQ,data\midis\Big_Data_Set\S\S,simon_and_garfunkel-america.mid,simon and garfunkel america,America,Simon & Garfunkel,https://open.spotify.com/track/6dfhF1BDGmhM69fnCb6wSC,simon and garfunkel america
almost famous,Sparks,The Who,https://open.spotify.com/track/2fZtwQHfvbuNycHaENyy9g,data\midis\Big_Data_Set\C\C,coldplay-sparks.mid,coldplay sparks,Sparks,Coldplay,https://open.spotify.com/track/7D0RhFcb3CrfPuTJ0obrod,coldplay sparks
almost famous,Sparks,The Who,https://open.spotify.com/track/2fZtwQHfvbuNycHaENyy9g,data\midis\Guitar_midkar.com_MIDIRip\MidiStudio\RFinley,sparks.mid,sparks,Sparks,Coldplay,https://open.spotify.com/track/7D0RhFcb3CrfPuTJ0obrod,sparks
almost famous,"I've Seen All Good People: a. Your Move, b. All Good People - 2003 Remaster",Yes,https://open.spotify.com/track/3skk6UIXV4kepq2bdYy97g,data\midis\Big_Data_Set\I\I,I've-Seen-All-Good-People-1.mid,i ve seen all good people ,"I've Seen All Good People: a. Your Move, b. All Good People - 2003 Remaster",Yes,https://open.spotify.com/track/3skk6UIXV4kepq2bdYy97g,i ve seen all good people 
almost famous,"I've Seen All Good People: a. Your Move, b. All Good People - 2003 Remaster",Yes,https://open.spotify.com/track/3skk6UIXV4kepq2bdYy97g,data\midis\Big_Data_Set\I\I,I've-Seen-All-Good-People-1.mid,i ve seen all good people ,"I've Seen All Good People: a. Your Move, b. All Good People - 2003 Remaster",Yes,https://open.spotify.com/track/3skk6UIXV4kepq2bdYy97g,i ve seen all good people 
almost famous,"I've Seen All Good People: a. Your Move, b. All Good People - 2003 Remaster",Yes,https://open.spotify.com/track/3skk6UIXV4kepq2bdYy97g,data\midis\Big_Data_Set\I\I,I've-Seen-All-Good-People-2.mid,i ve seen all good people ,"I've Seen All Good People: a. Your Move, b. All Good People - 2003 Remaster",Yes,https://open.spotify.com/track/3skk6UIXV4kepq2bdYy97g,i ve seen all good people 
almost famous,"I've Seen All Good People: a. Your Move, b. All Good People - 2003 Remaster",Yes,https://open.spotify.com/track/3skk6UIXV4kepq2bdYy97g,data\midis\Big_Data_Set\I\I,I've-Seen-All-Good-People-2.mid,i ve seen all good people ,"I've Seen All Good People: a. Your Move, b. All Good People - 2003 Remaster",Yes,https://open.spotify.com/track/3skk6UIXV4kepq2bdYy97g,i ve seen all good people 
almost famous,"I've Seen All Good People: a. Your Move, b. All Good People - 2003 Remaster",Yes,https://open.spotify.com/track/3skk6UIXV4kepq2bdYy97g,data\midis\Big_Data_Set\Y\Y,yes-all_good_people.mid,yes all good people,"I've Seen All Good People: a. Your Move, b. All Good People - 2003 Remaster",Yes,https://open.spotify.com/track/3skk6UIXV4kepq2bdYy97g,yes all good people
almost famous,Go All The Way,Raspberries,https://open.spotify.com/track/75GQIYnRaBg7ndHxhfYuQy,data\midis\Big_Data_Set\T\T,THE RASPBERRIES.Go all the way.mid,the raspberries go all the way,Go All The Way,Raspberries,https://open.spotify.com/track/75GQIYnRaBg7ndHxhfYuQy,the raspberries go all the way
guardians of the galaxy,Go All The Way,Raspberries,https://open.spotify.com/track/75GQIYnRaBg7ndHxhfYuQy,data\midis\Big_Data_Set\T\T,THE RASPBERRIES.Go all the way.mid,the raspberries go all the way,Go All The Way,Raspberries,https://open.spotify.com/track/75GQIYnRaBg7ndHxhfYuQy,the raspberries go all the way
almost famous,Burn,Deep Purple,https://open.spotify.com/track/15SDEryIqhhWZKaewQDTWF,data\midis\Big_Data_Set\E\E,ellie_goulding-burn.mid,ellie goulding burn,Burn,Ellie Goulding,https://open.spotify.com/track/0xMd5bcWTbyXS7wPrBtZA6,ellie goulding burn
almost famous,Burn,Deep Purple,https://open.spotify.com/track/15SDEryIqhhWZKaewQDTWF,data\midis\Big_Data_Set\T\T,tina_arena-burn.mid,tina arena burn,Burn,Tina Arena,https://open.spotify.com/track/1XsFwPxVyhouqW6Qu71Ygm,tina arena burn
almost famous,Tiny Dancer,Elton John,https://open.spotify.com/track/0a93gOQyRFfc2tVtup7JVP,data\midis\Guitar_midkar.com_MIDIRip\MidiStudio\BKelz,f_bernie.mid,f bernie,Tiny Dancer,Florence + The Machine,https://open.spotify.com/track/69sJBJdGogAYV74hmB0ORK,f bernie
almost famous,Reelin' In The Years,Steely Dan,https://open.spotify.com/track/1Vet0EkiVZ8pTixwJEaCVb,data\midis\Big_Data_Set\R\R,Reelin'InTheYears.mid,reelin intheyears,Reelin' In The Years,Steely Dan,https://open.spotify.com/track/1I7zHEdDx8Ny5RxzYPqsU2,reelin intheyears
almost famous,Reelin' In The Years,Steely Dan,https://open.spotify.com/track/1Vet0EkiVZ8pTixwJEaCVb,data\midis\Big_Data_Set\R\R,Reelin'InTheYears2.mid,reelin intheyears ,Reelin' In The Years,Steely Dan,https://open.spotify.com/track/1I7zHEdDx8Ny5RxzYPqsU2,reelin intheyears 
almost famous,Reelin' In The Years,Steely Dan,https://open.spotify.com/track/1Vet0EkiVZ8pTixwJEaCVb,data\midis\Big_Data_Set\R\R,Reelin'InTheYears2.mid,reelin intheyears ,Reelin' In The Years,Steely Dan,https://open.spotify.com/track/1I7zHEdDx8Ny5RxzYPqsU2,reelin intheyears 
almost famous,Reelin' In The Years,Steely Dan,https://open.spotify.com/track/1Vet0EkiVZ8pTixwJEaCVb,data\midis\Big_Data_Set\R\R,Reelin'InTheYears4.mid,reelin intheyears ,Reelin' In The Years,Steely Dan,https://open.spotify.com/track/1I7zHEdDx8Ny5RxzYPqsU2,reelin intheyears 
almost famous,Reelin' In The Years,Steely Dan,https://open.spotify.com/track/1Vet0EkiVZ8pTixwJEaCVb,data\midis\Big_Data_Set\R\R,Reelin'InTheYears4.mid,reelin intheyears ,Reelin' In The Years,Steely Dan,https://open.spotify.com/track/1I7zHEdDx8Ny5RxzYPqsU2,reelin intheyears 
almost famous,Reelin' In The Years,Steely Dan,https://open.spotify.com/track/1Vet0EkiVZ8pTixwJEaCVb,data\midis\Big_Data_Set\S\S,STEELY DAN.Reelin' in the years K.mid,steely dan reelin in the years k,Reelin' In The Years,Steely Dan,https://open.spotify.com/track/49K5azCmY65Ha5IuUaO678,steely dan reelin in the years k
almost famous,Reelin' In The Years,Steely Dan,https://open.spotify.com/track/1Vet0EkiVZ8pTixwJEaCVb,data\midis\Guitar_midkar.com_MIDIRip\MidiStudio\CRada,reelin.mid,reelin,Reelin' In The Years,Steely Dan,https://open.spotify.com/track/1I7zHEdDx8Ny5RxzYPqsU2,reelin
almost famous,The Wind,Yusuf / Cat Stevens,https://open.spotify.com/track/1L70BbUDG0C4EJQ1ZF10sG,data\midis\Big_Data_Set\M\M,mariah_carey-the_wind.mid,mariah carey the wind,The Wind,Mariah Carey,https://open.spotify.com/track/70IpgrWSPBWRhfWzq5FdKE,mariah carey the wind
almost famous,Voodoo Child (Slight Return),Jimi Hendrix,https://open.spotify.com/track/6d3I7THB2bONUkxOo1DvmZ,data\midis\Big_Data_Set\J\J,Jimi_Hendrix_-_Voodoo_Child.mid,jimi hendrix voodoo child,Voodoo Child (Slight Return),Jimi Hendrix,https://open.spotify.com/track/2AxCeJ6PSsBYiTckM0HLY7,jimi hendrix voodoo child
almost famous,Wishing Well,Free,https://open.spotify.com/track/206MIMLOL9OUdySdSUSlbC,data\midis\Big_Data_Set\F\F,Free_-_Wishing_Well.mid,free wishing well,Wishing Well,Free,https://open.spotify.com/track/6TSBIfIbxuPDi1uqMqy1iV,free wishing well
